FF,CH,FE,LU,PA,PH,PL,PR,RB,RP,RE,RS,WC,MA,SO,KI,LA,WH,RA,PE,RR,MAxWH,MAxRA,MAxPE,MAxRR,SOxWH,SOxRA,SOxPE,SOxRR,KIxWH,KIxRA,KIxPE,KIxRR,LAxWH,LAxRA,LAxPE,LAxRR
jan,28.5,55.4,35.8,65,48.3,48,54.8,59,51.5,39.5,24.2,27.6,0,50.9,50.3,47.6,0,0,0,0,0,0,0,0,50.9,50.9,50.9,50.9,50.3,50.3,50.3,50.3,47.6,47.6,47.6,47.6
feb,28.5,55.4,35.8,65,48.3,48,54.8,59,51.5,39.5,24.2,27.6,0,50.9,50.3,47.6,0,0,0,0,0,0,0,0,50.9,50.9,50.9,50.9,50.3,50.3,50.3,50.3,47.6,47.6,47.6,47.6
mar,26.6,49.7,36,60.4,41.7,45.4,51.9,42.8,49.7,38,26.5,0,0,61.4,56,47.6,39.6,41.1,29.1,26.8,39.6,41.1,29.1,26.8,39.6,41.1,29.1,26.8,39.6,41.1,29.1,26.8,39.6,41.1,29.1,26.8
apr,26.6,49.7,36,60.4,41.7,45.4,51.9,42.8,49.7,38,26.5,0,0,61.4,56,47.6,39.6,41.1,29.1,26.8,39.6,41.1,29.1,26.8,39.6,41.1,29.1,26.8,39.6,41.1,29.1,26.8,39.6,41.1,29.1,26.8
may,26.6,49.7,36,60.4,41.7,45.4,51.9,42.8,49.7,38,26.5,0,0,61.4,56,47.6,39.6,41.1,29.1,26.8,39.6,41.1,29.1,26.8,39.6,41.1,29.1,26.8,39.6,41.1,29.1,26.8,39.6,41.1,29.1,26.8
jun,27.8,48.8,47.2,67,55.3,38.3,43.7,42.2,48.9,35.3,23.4,49.1,0,0,53.5,0,37.7,45.9,41.4,15.6,37.7,45.9,41.4,15.6,37.7,45.9,41.4,15.6,37.7,45.9,41.4,15.6,37.7,45.9,41.4,15.6
jul,27.8,48.8,47.2,67,55.3,38.3,43.7,42.2,48.9,35.3,23.4,49.1,0,0,53.5,0,37.7,45.9,41.4,15.6,37.7,45.9,41.4,15.6,37.7,45.9,41.4,15.6,37.7,45.9,41.4,15.6,37.7,45.9,41.4,15.6
aug,27.8,48.8,47.2,67,55.3,38.3,43.7,42.2,48.9,35.3,23.4,49.1,0,0,53.5,0,0,45.9,41.4,15.6,0,45.9,41.4,15.6,0,45.9,41.4,15.6,0,45.9,41.4,15.6,0,45.9,41.4,15.6
sep,38.7,54.2,32.2,67.2,52.4,48.1,55.5,53.1,55.2,41.2,31.3,33.9,0,0,63.9,0,0,49.5,39.2,23.3,0,49.5,39.2,23.3,0,49.5,39.2,23.3,0,49.5,39.2,23.3,0,49.5,39.2,23.3
oct,38.7,54.2,32.2,67.2,52.4,48.1,55.5,53.1,55.2,41.2,31.3,33.9,0,0,63.9,0,0,49.5,39.2,23.3,0,0,0,0,0,0,0,0,0,63.9,63.9,63.9,0,0,0,0
nov,38.7,54.2,32.2,67.2,52.4,48.1,55.5,53.1,55.2,41.2,31.3,33.9,0,0,63.9,0,0,49.5,39.2,23.3,0,0,0,0,0,0,0,0,63.9,63.9,63.9,63.9,0,0,0,0
dec,28.5,55.4,35.8,65,48.3,48,54.8,59,51.5,39.5,24.2,27.6,0,50.9,50.3,47.6,0,0,0,0,0,0,0,0,50.9,50.9,50.9,50.9,50.3,50.3,50.3,50.3,47.6,47.6,47.6,47.6
