GF,CH,FE,LU,PA,PH,PL,PR,RB,RP,RE,RS,WC,MA,SO,KI,LA,WH,RA,PE,RR,MAxWH,MAxRA,MAxPE,MAxRR,SOxWH,SOxRA,SOxPE,SOxRR,KIxWH,KIxRA,KIxPE,KIxRR,LAxWH,LAxRA,LAxPE,LAxRR
jan,55.2,55.9,50.2,72.7,75.1,37.9,23.5,5.1,45.2,39.0,62.2,32.5,0.0,93.0,90.9,55.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,93.0,93.0,93.0,90.9,90.9,90.9,90.9,55.4,55.4,55.4,55.4
feb,60.2,52.4,51.3,62.6,33.4,28.4,37.5,0.1,36.5,36.2,46.6,36.3,778.6,79.4,79.4,70.4,0.0,0.0,0.0,0.0,778.6,778.6,778.6,778.6,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,70.4,70.4,70.4,70.4
mar,36.1,48.0,40.1,27.9,35.3,33.9,71.8,18.7,38.7,32.8,35.9,35.7,0.0,39.1,60.9,37.4,0.0,19.9,15.9,40.3,0.0,19.9,15.9,40.3,0.0,19.9,15.9,40.3,0.0,19.9,15.9,40.3,0.0,19.9,15.9,40.3
apr,24.2,44.3,26.5,22.9,36.0,20.1,53.8,38.4,36.1,21.1,34.3,29.6,0.0,11.6,45.8,35.1,20.1,43.5,23.4,35.8,20.1,43.5,23.4,35.8,20.1,43.5,23.4,35.8,20.1,43.5,23.4,35.8,20.1,43.5,23.4,35.8
may,20.0,29.6,11.1,15.9,24.1,24.1,33.6,47.4,32.2,13.8,28.0,21.3,0.0,3.2,18.5,12.5,20.1,39.6,30.8,28.1,20.1,39.6,30.8,28.1,20.1,39.6,30.8,28.1,20.1,39.6,30.8,28.1,20.1,39.6,30.8,28.1
jun,14.9,20.3,10.6,0.0,20.7,15.7,29.8,31.9,30.8,13.1,19.4,15.7,0.0,0.0,0.0,0.0,20.1,33.3,25.8,22.4,20.1,33.3,25.8,22.4,20.1,33.3,25.8,22.4,20.1,33.3,25.8,22.4,20.1,33.3,25.8,22.4
jul,16.6,22.5,15.4,0.0,27.7,18.4,28.0,35.1,34.6,33.3,22.9,18.3,0.0,0.0,0.0,0.0,40.2,41.1,25.6,38.5,40.2,41.1,25.6,38.5,40.2,41.1,25.6,38.5,40.2,41.1,25.6,38.5,40.2,41.1,25.6,38.5
aug,26.4,25.2,22.4,0.0,42.7,26.1,40.2,42.0,54.2,49.5,40.4,33.8,0.0,0.0,0.0,0.0,0.0,41.3,30.6,34.5,0.0,41.3,30.6,34.5,0.0,41.3,30.6,34.5,0.0,41.3,30.6,34.5,0.0,41.3,30.6,34.5
sep,38.4,46.7,37.8,40.9,55.1,39.1,63.3,49.4,57.3,48.3,39.0,44.5,0.0,0.0,28.0,0.0,312.2,39.3,36.2,50.1,312.2,20.1,36.2,50.1,312.2,20.1,36.2,50.1,312.2,20.1,36.2,50.1,312.2,20.1,36.2,50.1
oct,48.7,55.3,38.0,59.2,55.0,45.0,54.5,53.8,58.7,45.7,36.9,40.2,0.0,0.0,62.3,0.0,0.0,29.5,32.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,20.1,20.1,0.0,0.0,0.0,0.0
nov,42.6,69.5,40.7,66.1,22.8,46.7,61.6,34.1,54.6,47.1,36.9,35.0,0.0,51.9,61.2,40.1,0.0,10.1,17.7,0.0,0.0,0.0,0.0,0.0,51.9,51.9,51.9,51.9,61.2,61.2,61.2,61.2,40.1,40.1,40.1,40.1
dec,50.9,58.6,48.9,72.9,20.8,44.0,46.7,31.0,41.9,47.2,61.9,39.5,0.0,87.7,81.5,40.1,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,87.7,87.7,87.7,87.7,81.5,81.5,81.5,81.5,40.1,40.1,40.1,40.1
