LCCAdv,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jan,1.725,0,0,0,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825
Feb,0.825,1.725,0,0,0,0.825,0.825,0.825,0.825,0.825,0.825,0.825
Mar,0.825,0.825,1.725,0,0,0,0.825,0.825,0.825,0.825,0.825,0.825
Apr,0.825,0.825,0.825,1.725,0,0,0,0.825,0.825,0.825,0.825,0.825
May,0.825,0.825,0.825,0.825,1.725,0,0,0,0.825,0.825,0.825,0.825
Jun,0.825,0.825,0.825,0.825,0.825,1.725,0,0,0,0.825,0.825,0.825
Jul,0.825,0.825,0.825,0.825,0.825,0.825,1.725,0,0,0,0.825,0.825
Aug,0.825,0.825,0.825,0.825,0.825,0.825,0.825,1.725,0,0,0,0.825
Sep,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,1.725,0,0,0
Oct,0,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,1.725,0,0
Nov,0,0,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,1.725,0
Dec,0,0,0,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,1.725
