MEF,CH,FE,LU,PA,PH,PL,PR,RB,RP,RE,RS,WC,MA,SO,KI,LA,WH,RA,PE,RR,MAxWH,MAxRA,MAxPE,MAxRR,SOxWH,SOxRA,SOxPE,SOxRR,KIxWH,KIxRA,KIxPE,KIxRR,LAxWH,LAxRA,LAxPE,LAxRR
jan,10.2,9.9,9.3,9,9,9.4,10.7,9.2,9.9,9.2,10.7,10,0,8.7,9.9,8.5,0,0,0,0,0.0,0.0,0.0,0.0,8.7,8.7,8.7,8.7,9.9,9.9,9.9,9.9,8.5,8.5,8.5,8.5
feb,10.2,9.9,9.3,9,9.6,9.4,10.7,9.2,9.9,9.2,10.7,10,0,8.7,9.9,8.5,0,0,0,0,0.0,0.0,0.0,0.0,8.7,8.7,8.7,8.7,9.9,9.9,9.9,9.9,8.5,8.5,8.5,8.5
mar,9.5,9.5,9.3,9,10.4,9.3,9,11,10,9.3,9.8,10.2,0,7.9,9.2,8.5,10.5,11,9.8,10.2,10.5,11.0,9.8,10.2,10.5,11.0,9.8,10.2,10.5,11.0,9.8,10.2,10.5,11.0,9.8,10.2
apr,9.5,9.5,9.3,9,10.4,9.3,9.7,11,10,9.3,9.8,10.2,0,7.9,9.2,8.5,10.5,11,9.8,10.2,10.5,11.0,9.8,10.2,10.5,11.0,9.8,10.2,10.5,11.0,9.8,10.2,10.5,11.0,9.8,10.2
may,9.5,9.5,9.3,9,10.4,9.3,9.7,11,10,9.3,9.8,10.2,0,7.9,9.2,8.5,10.5,11,9.8,10.2,10.5,11.0,9.8,10.2,10.5,11.0,9.8,10.2,10.5,11.0,9.8,10.2,10.5,11.0,9.8,10.2
jun,10.1,10.6,9.3,9,10.2,9.9,11.2,11,11.4,10,9.9,10.5,0,0,9.2,0,10.7,10.5,10.1,11,10.7,10.5,10.1,11.0,10.7,10.5,10.1,11.0,10.7,10.5,10.1,11.0,10.7,10.5,10.1,11.0
jul,10.1,10.6,9.3,9,10.2,9.9,11.2,11,11.4,10,9.9,10.5,0,0,9.2,0,10.7,10.5,10.1,11,10.7,10.5,10.1,11.0,10.7,10.5,10.1,11.0,10.7,10.5,10.1,11.0,10.7,10.5,10.1,11.0
aug,10.1,10.6,9.3,9,10.2,9.9,11.2,11,11.4,10,9.9,10.5,0,0,9.2,0,0,10.5,10.1,11,0,10.5,10.1,11.0,0,10.5,10.1,11.0,0,10.5,10.1,11.0,0,10.5,10.1,11.0
sep,9.5,9.7,9.7,8.9,10.5,9.4,10.4,9.7,11.1,9.5,10.3,9.3,0,0,9.5,0,0,10.4,9.4,10.6,0,10.4,9.4,10.6,0,10.4,9.4,10.6,0,10.4,9.4,10.6,0,10.4,9.4,10.6
oct,9.5,9.7,9.7,8.9,10.5,9.4,10.4,9.7,11.1,9.5,10.3,9.3,0,0,9.5,0,0,10.4,9.4,10.6,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9.5,9.5,9.5,0,0.0,0.0,0.0
nov,9.5,9.7,9.7,8.9,10.5,9.4,10.4,9.7,11.1,9.5,10.3,9.3,0,0,9.5,0,0,10.4,9.4,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,9.5,9.5,9.5,0.0,0.0,0.0,0.0
dec,10.2,9.9,9.3,9,9.6,9.4,10.7,9.2,9.9,9.2,10.7,10,0,8.7,9.9,8.5,0,0,0,0,0.0,0.0,0.0,0.0,8.7,8.7,8.7,8.7,9.9,9.9,9.9,9.9,8.5,8.5,8.5,8.5
