P25F,CH,FE,LU,PA,PH,PL,PR,RB,RP,RE,RS,WC,MA,SO,KI,LA,WH,RA,PE,RR,MAxWH,MAxRA,MAxPE,MAxRR,SOxWH,SOxRA,SOxPE,SOxRR,KIxWH,KIxRA,KIxPE,KIxRR,LAxWH,LAxRA,LAxPE,LAxRR
jan,78,83,45,86,57,68,0,41,44,49,59,44,0,92,95,122,0,0,0,0,0.0,0.0,0.0,0.0,92.2,92.2,92.2,92.2,82.5,82.5,82.5,82.5,122.2,122.2,122.2,122.2
feb,39,83,90,86,57,34,62,0,44,49,59,44,0,92,95,0,0,0,0,0,0.0,0.0,0.0,0.0,92.2,92.2,92.2,92.2,82.5,82.5,82.5,82.5,0.0,0.0,0.0,0.0
mar,78,42,45,86,57,68,62,0,44,49,59,44,0,92,95,122,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apr,39,83,45,43,57,34,62,41,88,49,59,44,0,0,48,0,208,42,38,70,192.1,39.0,37.9,69.7,192.1,39.0,37.9,69.7,192.1,39.0,37.9,69.7,192.1,39.0,37.9,69.7
may,39,42,45,43,57,34,62,81,44,49,59,44,0,92,48,122,104,83,38,70,96.1,77.9,37.9,69.7,96.1,77.9,37.9,69.7,96.1,77.9,37.9,69.7,96.1,77.9,37.9,69.7
jun,39,42,0,0,57,34,62,41,44,49,0,44,0,0,48,0,0,42,38,0,0.0,39.0,37.9,0.0,0.0,39.0,37.9,0.0,0.0,39.0,37.9,0.0,0.0,39.0,37.9,0.0
jul,0,0,0,0,57,0,62,41,44,0,59,0,0,0,0,0,104,42,0,70,96.1,39.0,0.0,69.7,96.1,39.0,0.0,69.7,96.1,39.0,0.0,69.7,96.1,39.0,0.0,69.7
aug,39,42,45,0,57,34,62,41,44,49,0,44,0,0,0,0,0,42,38,0,0.0,39.0,37.9,0.0,0.0,39.0,37.9,0.0,0.0,39.0,37.9,0.0,0.0,39.0,37.9,0.0
sep,0,42,0,0,57,34,62,41,44,49,59,44,0,0,0,0,0,42,38,70,0.0,39.0,37.9,69.7,0.0,39.0,37.9,69.7,0.0,39.0,37.9,69.7,0.0,39.0,37.9,69.7
oct,39,83,45,43,57,34,62,41,88,49,59,44,981,0,48,0,104,42,38,70,981.0,981.0,981.0,981.0,96.1,0.0,0.0,0.0,41.2,41.2,41.2,41.2,0.0,0.0,0.0,0.0
nov,78,42,45,86,0,68,62,81,88,49,59,44,0,0,95,0,0,42,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5,82.5,82.5,82.5,0.0,0.0,0.0,0.0
dec,78,83,90,86,0,34,62,41,44,49,59,44,0,92,95,0,0,0,38,0,0.0,0.0,0.0,0.0,92.2,92.2,92.2,92.2,82.5,82.5,82.5,82.5,0.0,0.0,0.0,0.0
