PF,CH,FE,LU,PA,PH,PL,PR,RB,RP,RE,RS,WC,MA,SO,KI,LA,WH,RA,PE,RR,MAxWH,MAxRA,MAxPE,MAxRR,SOxWH,SOxRA,SOxPE,SOxRR,KIxWH,KIxRA,KIxPE,KIxRR,LAxWH,LAxRA,LAxPE,LAxRR
jan,24.9,21.6,20.6,22,24.1,28,24.6,28.9,22.1,24.2,30.1,24.2,0,21.7,25.3,17.7,0,0,0,0,0.0,0.0,0.0,0.0,21.7,21.7,21.7,21.7,25.3,25.3,25.3,25.3,17.7,17.7,17.7,17.7
feb,24.9,21.6,20.6,22,24.1,28,24.6,28.9,22.1,24.2,30.1,24.2,0,21.7,25.3,17.7,0,0,0,0,0.0,0.0,0.0,0.0,21.7,21.7,21.7,21.7,25.3,25.3,25.3,25.3,17.7,17.7,17.7,17.7
mar,27.8,24,26,19.8,29.1,30,28.5,26.5,25.1,26.5,28.5,25.1,0,16.8,29.3,17.7,31.8,28.5,23.4,27.6,31.8,28.5,23.4,27.6,31.8,28.5,23.4,27.6,31.8,28.5,23.4,27.6,31.8,28.5,23.4,27.6
apr,27.8,24,26,19.8,29.1,30,28.5,26.5,25.1,26.5,28.5,25.1,0,16.8,29.3,17.7,31.8,28.5,23.4,27.6,31.8,28.5,23.4,27.6,31.8,28.5,23.4,27.6,31.8,28.5,23.4,27.6,31.8,28.5,23.4,27.6
may,27.8,24,26,19.8,29.1,30,28.5,26.5,25.1,26.5,28.5,25.1,0,16.8,29.3,17.7,31.8,28.5,23.4,27.6,31.8,28.5,23.4,27.6,31.8,28.5,23.4,27.6,31.8,28.5,23.4,27.6,31.8,28.5,23.4,27.6
jun,28.9,25.3,30.1,22,28.5,24.8,31,26.4,24.3,30.3,27.4,29.8,0,0,24,0,28.2,27.1,31,26.8,28.2,27.1,31.0,26.8,28.2,27.1,31.0,26.8,28.2,27.1,31.0,26.8,28.2,27.1,31.0,26.8
jul,28.9,25.3,30.1,22,28.5,24.8,31,26.4,24.3,30.3,27.4,29.8,0,0,24,0,28.2,27.1,31,26.8,28.2,27.1,31.0,26.8,28.2,27.1,31.0,26.8,28.2,27.1,31.0,26.8,28.2,27.1,31.0,26.8
aug,28.9,25.3,30.1,22,28.5,24.8,31,26.4,24.3,30.3,27.4,29.8,0,0,24,0,0,27.1,31,26.8,0.0,27.1,31.0,26.8,0.0,27.1,31.0,26.8,0.0,27.1,31.0,26.8,0.0,27.1,31.0,26.8
sep,27.3,26.7,29,22.9,27.1,28.1,26.4,24.7,26.7,28.9,26.6,28.1,0,0,22.8,0,0,25.6,26.6,26.5,0.0,25.6,26.6,26.5,0.0,25.6,26.6,26.5,0.0,25.6,26.6,26.5,0.0,25.6,26.6,26.5
oct,27.3,26.7,29,22.9,27.1,28.1,26.4,24.7,26.7,28.9,26.6,28.1,0,0,22.8,0,0,25.6,26.6,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,22.8,22.8,0.0,0.0,0.0,0.0
nov,27.3,26.7,29,22.9,27.1,28.1,26.4,24.7,26.7,28.9,26.6,28.1,0,0,22.8,0,0,25.6,26.6,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,22.8,22.8,22.8,0.0,0.0,0.0,0.0
dec,24.9,21.6,20.6,22,24.1,28,24.6,28.9,22.1,24.2,30.1,24.2,0,21.7,25.3,17.7,0,0,0,0,0.0,0.0,0.0,0.0,21.7,21.7,21.7,21.7,25.3,25.3,25.3,25.3,17.7,17.7,17.7,17.7
