RDPF,CH,FE,LU,PA,PH,PL,PR,RB,RP,RE,RS,WC,MA,SO,KI,LA,WH,RA,PE,RR,MAxWH,MAxRA,MAxPE,MAxRR,SOxWH,SOxRA,SOxPE,SOxRR,KIxWH,KIxRA,KIxPE,KIxRR,LAxWH,LAxRA,LAxPE,LAxRR
jan,124,140,131,128,144,105,115,166,132,134,251,166,24,103,132,100,152,130,160,186,24,24,24,24,103,103,103,103,132,132,132,132,100,100,100,100
feb,124,140,131,128,144,105,115,166,132,134,251,166,24,103,132,100,152,130,160,186,24,24,24,24,103,103,103,103,132,132,132,132,100,100,100,100
mar,124,140,131,128,144,105,115,166,132,134,251,166,24,103,132,100,152,130,160,186,152,130,160,186,152,130,160,186,152,130,160,186,152,130,160,186
apr,124,140,131,128,144,105,115,166,132,134,251,166,24,103,132,100,152,130,160,186,152,130,160,186,152,130,160,186,152,130,160,186,152,130,160,186
may,153,152,131,128,166,1111,162,166,142,134,162,181,24,103,132,100,152,130,160,186,152,130,160,186,152,130,160,186,152,130,160,186,152,130,160,186
jun,153,152,131,128,166,1111,162,166,142,134,162,181,24,103,132,100,152,130,160,186,152,130,160,186,152,130,160,186,152,130,160,186,152,130,160,186
jul,153,152,131,128,166,1111,162,166,142,134,162,181,24,103,132,100,152,130,160,186,152,130,160,186,152,130,160,186,152,130,160,186,152,130,160,186
aug,153,152,131,128,166,1111,162,166,142,134,162,181,24,103,132,100,152,130,160,186,152,130,160,186,152,130,160,186,152,130,160,186,152,130,160,186
sep,153,152,131,128,166,1111,162,166,142,134,162,181,24,103,132,100,152,130,160,186,152,130,160,186,152,130,160,186,152,130,160,186,152,130,160,186
oct,153,152,131,128,166,1111,162,166,142,134,162,181,24,103,132,100,152,130,160,186,152,130,160,186,152,130,160,186,152,130,160,186,152,130,160,186
nov,124,140,131,128,144,105,115,166,132,134,251,166,24,103,132,100,152,130,160,186,24,24,24,24,103,103,103,103,132,132,132,132,100,100,100,100
dec,124,140,131,128,144,105,115,166,132,134,251,166,24,103,132,100,152,130,160,186,24,24,24,24,103,103,103,103,132,132,132,132,100,100,100,100
