,"WheatGrain","BarleyGrain","OatsGrain","TriticaleGrain","SorghumGrain","MaizeGrain","LupinsGrain","CanolaGrain","LucerneHay","CloverHay","OatenHay","CerealStraw"
"Jan", 0.000000000000E+00, 2.390047627298E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 1.505777777778E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 2.503886147577E-01
"Feb", 0.000000000000E+00, 2.314847407979E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 1.505777777778E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 2.503886147577E-01
"Mar", 0.000000000000E+00, 3.245274120336E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 1.855322686182E+00
"Apr", 0.000000000000E+00, 3.278557421165E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 1.855322686182E+00
"May", 0.000000000000E+00, 3.370598121601E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 5.846680141028E-01
"Jun", 0.000000000000E+00, 9.136805623891E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 2.069468931219E+01
"Jul", 0.000000000000E+00, 9.136805623891E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 2.069468931219E+01
"Aug", 0.000000000000E+00, 5.167153125434E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 2.361735763455E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 2.069468931219E+01
"Sep", 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 5.661992124539E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00
"Oct", 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00
"Nov", 0.000000000000E+00, 9.045034510989E-01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 7.528888888889E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00
"Dec", 0.000000000000E+00, 2.371247978592E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 1.505777777778E+01, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 0.000000000000E+00, 2.503886147578E-01
