,"capital","LABOUR","output","SAVING","DEPR","INVEST","CONSUMP","NET INV"
"t1", 1.000000000000E+02, 1.000000000000E+02, 1.000000000000E+02, 2.000000000000E+01, 3.000000000000E+00, 5.000000000000E+00, 8.000000000000E+01, 1.500000000000E+01
"t2", 1.120000000000E+02, 1.040400000000E+02, 1.063666906182E+02, 2.127333812364E+01, 3.360000000000E+00, 5.600000000000E+00, 8.509335249455E+01, 1.567333812364E+01
"t3", 1.243133381236E+02, 1.061208000000E+02, 1.112796316078E+02, 2.225592632157E+01, 3.729400143709E+00, 6.215666906182E+00, 8.902370528627E+01, 1.604025941539E+01
"t4", 1.366241973953E+02, 1.082432160000E+02, 1.160750202326E+02, 2.321500404652E+01, 4.098725921859E+00, 6.831209869766E+00, 9.286001618609E+01, 1.638379417676E+01
"t5", 1.489092656502E+02, 1.104080803200E+02, 1.207750199055E+02, 2.415500398110E+01, 4.467277969506E+00, 7.445463282511E+00, 9.662001592438E+01, 1.670954069859E+01
"t6", 1.611515283793E+02, 1.126162419264E+02, 1.253981270851E+02, 2.507962541701E+01, 4.834545851379E+00, 8.057576418964E+00, 1.003185016680E+02, 1.702204899805E+01
"t7", 1.733390315260E+02, 1.148685667649E+02, 1.299600145696E+02, 2.599200291393E+01, 5.200170945779E+00, 8.666951576298E+00, 1.039680116557E+02, 1.732505133763E+01
"t8", 1.854639119178E+02, 1.171659381002E+02, 1.344741434443E+02, 2.689482868886E+01, 5.563917357534E+00, 9.273195595890E+00, 1.075793147555E+02, 1.762163309297E+01
"t9", 1.975216276532E+02, 1.195092568622E+02, 1.389522164931E+02, 2.779044329862E+01, 5.925648829597E+00, 9.876081382662E+00, 1.111617731945E+02, 1.791436191596E+01
"t10", 2.095103407396E+02, 1.218994419995E+02, 1.434045203668E+02, 2.868090407336E+01, 6.285310222188E+00, 1.047551703698E+01, 1.147236162935E+02, 1.820538703638E+01
"t11", 2.214304175538E+02, 1.243374308395E+02, 1.478401880419E+02, 2.956803760838E+01, 6.642912526614E+00, 1.107152087769E+01, 1.182721504335E+02, 1.849651673069E+01
"t12", 2.332840217579E+02, 1.268241794563E+02, 1.522674030942E+02, 3.045348061883E+01, 6.998520652736E+00, 1.166420108789E+01, 1.218139224753E+02, 1.878927953094E+01
"t13", 2.450747806361E+02, 1.293606630454E+02, 1.566935607875E+02, 3.133871215750E+01, 7.352243419083E+00, 1.225373903180E+01, 1.253548486300E+02, 1.908497312570E+01
"t14", 2.568075103427E+02, 1.319478763063E+02, 1.611253966284E+02, 3.222507932568E+01, 7.704225310281E+00, 1.284037551714E+01, 1.289003173027E+02, 1.938470380854E+01
"t15", 2.684879888410E+02, 1.345868338324E+02, 1.655690900757E+02, 3.311381801513E+01, 8.054639665229E+00, 1.342439944205E+01, 1.324552720605E+02, 1.968941857308E+01
"t16", 2.801227677488E+02, 1.372785705091E+02, 1.700303490440E+02, 3.400606980881E+01, 8.403683032465E+00, 1.400613838744E+01, 1.360242792352E+02, 1.999993142137E+01
"t17", 2.917190161377E+02, 1.400241419192E+02, 1.745144793925E+02, 3.490289587851E+01, 8.751570484132E+00, 1.458595080689E+01, 1.396115835140E+02, 2.031694507162E+01
"t18", 3.032843907252E+02, 1.428246247576E+02, 1.790264425536E+02, 3.580528851071E+01, 9.098531721756E+00, 1.516421953626E+01, 1.432211540429E+02, 2.064106897445E+01
"t19", 3.148269279779E+02, 1.456811172528E+02, 1.835709037064E+02, 3.671418074128E+01, 9.444807839337E+00, 1.574134639890E+01, 1.468567229651E+02, 2.097283434238E+01
"t20", 3.263549544810E+02, 1.485947395978E+02, 1.881522723459E+02, 3.763045446918E+01, 9.790648634429E+00, 1.631774772405E+01, 1.505218178767E+02, 2.131270674513E+01
"t21", 3.378770125917E+02, 1.515666343898E+02, 1.927747366859E+02, 3.855494733718E+01, 1.013631037775E+01, 1.689385062958E+01, 1.542197893487E+02, 2.166109670760E+01
"t22", 3.494017989215E+02, 1.545979670776E+02, 1.974422930267E+02, 3.948845860533E+01, 1.048205396765E+01, 1.747008994608E+01, 1.579538344213E+02, 2.201836865926E+01
"t23", 3.609381136131E+02, 1.576899264191E+02, 2.021587709803E+02, 4.043175419606E+01, 1.082814340839E+01, 1.804690568066E+01, 1.617270167842E+02, 2.238484851540E+01
"t24", 3.724948187201E+02, 1.608437249475E+02, 2.069278552681E+02, 4.138557105362E+01, 1.117484456160E+01, 1.862474093601E+01, 1.655422842145E+02, 2.276083011762E+01
"t25", 3.840808042761E+02, 1.640605994465E+02, 2.117531046629E+02, 4.235062093257E+01, 1.152242412828E+01, 1.920404021381E+01, 1.694024837303E+02, 2.314658071876E+01
"t26", 3.957049608666E+02, 1.673418114354E+02, 2.166379685402E+02, 4.332759370804E+01, 1.187114882600E+01, 1.978524804333E+01, 1.733103748322E+02, 2.354234566471E+01
"t27", 4.073761577053E+02, 1.706886476641E+02, 2.215858014177E+02, 4.431716028354E+01, 1.222128473116E+01, 2.036880788527E+01, 1.772686411342E+02, 2.394835239827E+01
"t28", 4.191032253724E+02, 1.741024206174E+02, 2.265998757911E+02, 4.531997515822E+01, 1.257309676117E+01, 2.095516126862E+01, 1.812799006329E+02, 2.436481388960E+01
"t29", 4.308949425009E+02, 1.775844690297E+02, 2.316833935240E+02, 4.633667870480E+01, 1.292684827503E+01, 2.154474712504E+01, 1.853467148192E+02, 2.479193157975E+01
"t30", 4.427600258056E+02, 1.811361584103E+02, 2.368394960022E+02, 4.736789920044E+01, 1.328280077417E+01, 2.213800129028E+01, 1.894715968018E+02, 2.522989791016E+01
"t31", 4.547071229416E+02, 1.847588815785E+02, 2.420712732301E+02, 4.841425464603E+01, 1.364121368825E+01, 2.273535614708E+01, 1.936570185841E+02, 2.567889849895E+01
"t32", 4.667448077523E+02, 1.884540592101E+02, 2.473817720164E+02, 4.947635440328E+01, 1.400234423257E+01, 2.333724038761E+01, 1.979054176131E+02, 2.613911401567E+01
"t33", 4.788815775354E+02, 1.922231403943E+02, 2.527740033736E+02, 5.055480067473E+01, 1.436644732606E+01, 2.394407887677E+01, 2.022192026989E+02, 2.661072179796E+01
"t34", 4.911258520073E+02, 1.960676032022E+02, 2.582509492374E+02, 5.165018984748E+01, 1.473377556022E+01, 2.455629260036E+01, 2.066007593899E+02, 2.709389724712E+01
"t35", 5.034859736942E+02, 1.999889552662E+02, 2.638155685936E+02, 5.276311371871E+01, 1.510457921083E+01, 2.517429868471E+01, 2.110524548749E+02, 2.758881503401E+01
"t36", 5.159702095174E+02, 2.039887343716E+02, 2.694708030900E+02, 5.389416061800E+01, 1.547910628552E+01, 2.579851047587E+01, 2.155766424720E+02, 2.809565014214E+01
"t37", 5.285867533740E+02, 2.080685090590E+02, 2.752195821981E+02, 5.504391643961E+01, 1.585760260122E+01, 2.642933766870E+01, 2.201756657584E+02, 2.861457877091E+01
"t38", 5.413437295437E+02, 2.122298792402E+02, 2.810648279791E+02, 5.621296559581E+01, 1.624031188631E+01, 2.706718647718E+01, 2.248518623833E+02, 2.914577911863E+01
"t39", 5.542491967760E+02, 2.164744768250E+02, 2.870094595048E+02, 5.740189190095E+01, 1.662747590328E+01, 2.771245983880E+01, 2.296075676038E+02, 2.968943206215E+01
"t40", 5.673111529349E+02, 2.208039663615E+02, 2.930563969725E+02, 5.861127939449E+01, 1.701933458805E+01, 2.836555764674E+01, 2.344451175780E+02, 3.024572174775E+01
"t41", 5.805375400946E+02, 2.252200456887E+02, 2.992085655518E+02, 5.984171311037E+01, 1.741612620284E+01, 2.902687700473E+01, 2.393668524415E+02, 3.081483610564E+01
"t42", 5.939362499974E+02, 2.297244466025E+02, 3.054688989941E+02, 6.109377979881E+01, 1.781808749992E+01, 2.969681249987E+01, 2.443751191953E+02, 3.139696729895E+01
"t43", 6.075151297964E+02, 2.343189355345E+02, 3.118403430314E+02, 6.236806860628E+01, 1.822545389389E+01, 3.037575648982E+01, 2.494722744251E+02, 3.199231211646E+01
"t44", 6.212819880190E+02, 2.390053142452E+02, 3.183258585908E+02, 6.366517171816E+01, 1.863845964057E+01, 3.106409940095E+01, 2.546606868726E+02, 3.260107231721E+01
"t45", 6.352446006956E+02, 2.437854205301E+02, 3.249284248427E+02, 6.498568496854E+01, 1.905733802087E+01, 3.176223003478E+01, 2.599427398741E+02, 3.322345493376E+01
"t46", 6.494107176085E+02, 2.486611289407E+02, 3.316510421042E+02, 6.633020842084E+01, 1.948232152825E+01, 3.247053588042E+01, 2.653208336834E+02, 3.385967254042E+01
"t47", 6.637880686206E+02, 2.536343515196E+02, 3.384967346123E+02, 6.769934692246E+01, 1.991364205862E+01, 3.318940343103E+01, 2.707973876898E+02, 3.450994349143E+01
"t48", 6.783843700535E+02, 2.587070385499E+02, 3.454685531822E+02, 6.909371063643E+01, 2.035153110160E+01, 3.391921850267E+01, 2.763748425457E+02, 3.517449213376E+01
"t49", 6.932073310856E+02, 2.638811793209E+02, 3.525695777634E+02, 7.051391555269E+01, 2.079621993257E+01, 3.466036655428E+01, 2.820556622107E+02, 3.585354899841E+01
"t50", 7.082646601515E+02, 2.691588029074E+02, 3.598029199063E+02, 7.196058398125E+01, 2.124793980454E+01, 3.541323300757E+01, 2.878423359250E+02, 3.654735097368E+01
"t51", 7.235640713206E+02, 2.745419789655E+02, 3.671717251469E+02, 7.343434502939E+01, 2.170692213962E+01, 3.617820356603E+01, 2.937373801175E+02, 3.725614146336E+01
"t52", 7.391132906443E+02, 2.800328185448E+02, 3.746791753229E+02, 7.493583506459E+01, 2.217339871933E+01, 3.695566453222E+01, 2.997433402584E+02, 3.798017053237E+01
"t53", 7.549200624574E+02, 2.856334749157E+02, 3.823284908255E+02, 7.646569816510E+01, 2.264760187372E+01, 3.774600312287E+01, 3.058627926604E+02, 3.871969504223E+01
"t54", 7.709921556259E+02, 2.913461444140E+02, 3.901229327971E+02, 7.802458655943E+01, 2.312976466878E+01, 3.854960778129E+01, 3.120983462377E+02, 3.947497877813E+01
"t55", 7.873373697352E+02, 2.971730673023E+02, 3.980658052812E+02, 7.961316105624E+01, 2.362012109206E+01, 3.936686848676E+01, 3.184526442250E+02, 4.024629256948E+01
"t56", 8.039635412127E+02, 3.031165286484E+02, 4.061604573295E+02, 8.123209146589E+01, 2.411890623638E+01, 4.019817706063E+01, 3.249283658636E+02, 4.103391440526E+01
"t57", 8.208785493815E+02, 3.091788592213E+02, 4.144102850734E+02, 8.288205701468E+01, 2.462635648145E+01, 4.104392746908E+01, 3.315282280587E+02, 4.183812954560E+01
